Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class,Predict
45816,859.129,338.7357705,173.1661098,1.95613201,0.859454087,46674,241.525864,0.793103448,0.981617174,0.78002815,0.713021432,0.007393395,0.001178783,0.508399562,0.994496657,HOROZ,HOROZ
35674,712.727,258.2219167,176.3050191,1.464631682,0.730637568,36178,213.1233153,0.719233871,0.986068882,0.882501088,0.825349444,0.007238379,0.002071918,0.681201704,0.997709598,DERMASON,DERMASON
47026,815.622,312.6353105,192.7472981,1.621995813,0.787335799,47758,244.6944275,0.741290709,0.984672725,0.888321228,0.782683271,0.006648137,0.001538948,0.612593103,0.993623448,SIRA,SIRA
70477,1024.772,355.1204899,253.352096,1.401687594,0.700730849,71580,299.5565112,0.793177572,0.984590668,0.843340141,0.843534856,0.005038814,0.001573694,0.711551053,0.997372283,BARBUNYA,CALI
68087,1029.885,372.4735199,233.8952225,1.592480239,0.778252654,69320,294.4334575,0.700029816,0.982212926,0.806671285,0.790481582,0.005470553,0.001317583,0.624861132,0.995079005,BARBUNYA,CALI
85998,1174.8,441.3015301,251.9228226,1.751733033,0.821045162,88241,330.9018803,0.745423341,0.974580977,0.783015465,0.749831709,0.005131532,0.00100065,0.562247591,0.984907678,CALI,CALI
58846,947.248,376.1807897,202.164137,1.860769151,0.843319721,59516,273.724413,0.799538043,0.988742523,0.82413701,0.727640593,0.006392631,0.001105419,0.529460833,0.985204385,HOROZ,HOROZ
47009,802.977,295.6113614,203.9232482,1.449620698,0.723966029,47490,244.6501947,0.798522167,0.989871552,0.916188139,0.82760755,0.006288399,0.001819775,0.684934257,0.992894877,SIRA,SIRA
57121,941.078,385.9214754,188.9401204,2.042559699,0.871957388,57768,269.6826209,0.634381733,0.988800028,0.810502622,0.698801798,0.00675621,0.0009938,0.488323953,0.997430827,HOROZ,HOROZ
66945,996.779,373.7364857,228.2295645,1.63754633,0.791885385,67778,291.9538,0.747754892,0.987709876,0.846701346,0.781175537,0.005582739,0.001282395,0.61023522,0.999288445,BARBUNYA,CALI
59255,922.943,329.2752345,229.5490083,1.43444416,0.716940714,60140,274.6740054,0.747659424,0.985284337,0.874148277,0.834177541,0.005556919,0.00165977,0.69585217,0.998161081,BARBUNYA,SEKER
44048,763.489,271.0824375,207.2220042,1.308173997,0.644713487,44378,236.8198798,0.761614939,0.992563883,0.949577661,0.873608346,0.006154251,0.00221117,0.763191542,0.99838733,SEKER,SEKER
45012,854.166,299.2873979,192.127518,1.557753938,0.766746577,45841,239.3972815,0.779820169,0.981915752,0.775271133,0.799890952,0.006649058,0.001679048,0.639825535,0.996690746,BARBUNYA,SIRA
73769,1047.573,399.9223342,236.1586535,1.693447724,0.807029378,74575,306.4728503,0.801532026,0.989192089,0.84472465,0.76633092,0.005421279,0.001153312,0.587263079,0.994499324,CALI,CALI
68936,1025.523,381.0070496,231.0529832,1.649002944,0.795139124,70001,296.2634659,0.771536335,0.984785932,0.823692542,0.777580011,0.005526968,0.00124637,0.604630674,0.997037762,BARBUNYA,CALI
42588,765.436,280.882102,193.9428884,1.448272243,0.723353474,43076,232.8620315,0.817977528,0.988671186,0.91343856,0.82903834,0.006595334,0.00192183,0.687304569,0.99540413,SIRA,SIRA
42586,746.12,247.4483837,219.3118287,1.128294744,0.463124497,42974,232.8565637,0.780950285,0.990971285,0.961300904,0.941030853,0.005810557,0.00281069,0.885539067,0.999149075,SEKER,SEKER
51191,849.927,319.1020181,205.4676187,1.553052593,0.765115384,51839,255.300618,0.783911672,0.987499759,0.890512922,0.800059553,0.006233557,0.001575451,0.640095288,0.994101647,SIRA,SIRA
27875,616.012,222.6462814,159.8193731,1.393111968,0.696231421,28270,188.3920176,0.791071885,0.986027591,0.923094993,0.846149401,0.007987311,0.002525623,0.715968809,0.997424716,DERMASON,DERMASON
54079,882.527,346.5358897,199.4671086,1.737308432,0.817729265,54691,262.4033562,0.7569425,0.988809859,0.872534312,0.757218412,0.006407957,0.001299523,0.573379724,0.996137429,SIRA,SIRA
52875,911.09,380.0417586,177.9162954,2.136070548,0.883649367,53456,259.4658762,0.751449605,0.989131248,0.800456406,0.682729911,0.007187551,0.000963289,0.466120132,0.995665486,HOROZ,HOROZ
37943,725.296,272.4195768,177.7357646,1.532722338,0.757845642,38424,219.7965606,0.777903067,0.987481782,0.906381359,0.806831004,0.007179706,0.001876795,0.650976269,0.997765869,DERMASON,DERMASON
65618,973.379,349.7425879,239.9523772,1.457550002,0.727523456,66416,289.0457273,0.812989394,0.987984823,0.87029985,0.82645276,0.005329979,0.001533831,0.683024165,0.995541874,BARBUNYA,CALI
63530,977.519,346.3706052,234.5515131,1.476735753,0.73582732,64529,284.4097542,0.691505573,0.984518589,0.835484321,0.821114003,0.005452079,0.001528818,0.674228206,0.995656897,BARBUNYA,CALI
58836,962.165,327.3894952,229.8999744,1.424051899,0.711958445,60103,273.7011543,0.709380275,0.978919521,0.798645214,0.836010802,0.005564442,0.001676675,0.69891406,0.995289895,BARBUNYA,SEKER
83810,1123.285,442.5761071,243.2735867,1.819252608,0.835377753,84912,326.6652817,0.7957124,0.987021858,0.834691106,0.738099677,0.005280708,0.00096679,0.544791133,0.99111269,CALI,CALI
56889,951.582,384.2369343,190.1773181,2.020414096,0.868922572,57644,269.1343985,0.613504012,0.986902366,0.789488352,0.700438647,0.006754152,0.001002838,0.490614299,0.991244045,HOROZ,HOROZ
34444,686.359,249.6569696,175.8623222,1.419616018,0.709787527,34799,209.4169594,0.787291429,0.989798557,0.918799561,0.838818799,0.007248199,0.002213515,0.703616978,0.998865932,DERMASON,DERMASON
67353,1055.855,437.6707663,197.0169148,2.221488276,0.892953623,68034,292.8421128,0.637269373,0.989990299,0.759203579,0.669092239,0.006498163,0.000803368,0.447684424,0.994525699,HOROZ,HOROZ
52530,831.059,296.6304835,225.9183413,1.312998678,0.648029319,52917,258.6180065,0.749571918,0.99268666,0.955770343,0.871852425,0.005646878,0.002012612,0.760126652,0.998045289,SEKER,SEKER
48883,827.086,321.6458166,194.40345,1.654527307,0.796679321,49352,249.4789944,0.71787529,0.990496839,0.897979404,0.775632642,0.006579912,0.001469008,0.601605995,0.995373547,SIRA,SIRA
47259,828.291,320.7676251,188.0343422,1.705899153,0.810165565,47818,245.2998729,0.729035542,0.988309841,0.865622441,0.764727652,0.00678744,0.001431901,0.584808382,0.997624124,SIRA,SIRA
32406,675.291,259.8476025,159.14108,1.632812864,0.790517033,32736,203.1270555,0.807485299,0.989919355,0.893003926,0.781716104,0.008018503,0.00184701,0.611080068,0.997779395,DERMASON,DERMASON
35706,693.069,250.7097581,181.6645682,1.380069656,0.689168511,36096,213.2188809,0.724627093,0.989195479,0.934110205,0.850461037,0.007021502,0.002265831,0.723283976,0.998182268,DERMASON,DERMASON
64510,989.333,348.6611269,236.351649,1.475179582,0.735169278,65406,286.5949808,0.785940546,0.986300951,0.828231826,0.821987193,0.005404761,0.001522006,0.675662945,0.99672418,BARBUNYA,CALI
55672,952.751,399.0885089,178.2632932,2.238758758,0.894695744,56414,266.240102,0.707467087,0.986847237,0.77070444,0.667120441,0.007168568,0.000875849,0.445049683,0.996358875,HOROZ,HOROZ
68862,1033.621,356.6368895,246.2047294,1.448537932,0.723474343,70125,296.1044098,0.7214609,0.981989305,0.809966109,0.830268597,0.005179009,0.001518102,0.689345943,0.998543746,BARBUNYA,CALI
30113,641.52,236.1498262,162.6632701,1.451771048,0.724938263,30428,195.8087394,0.732908219,0.989647693,0.919482541,0.829171643,0.007842122,0.002286605,0.687525613,0.99812978,DERMASON,DERMASON
78121,1069.584,412.3801112,242.3737879,1.701422067,0.809047225,78892,315.3834911,0.702185989,0.990227146,0.858119681,0.764788317,0.005278736,0.001113973,0.584901169,0.995163757,CALI,CALI
58879,953.706,346.4185229,218.8363498,1.583002656,0.775204079,60225,273.8011526,0.751793968,0.977650477,0.813469472,0.790376768,0.005883567,0.001416306,0.624695436,0.988894534,BARBUNYA,CALI
25603,591.657,224.5774511,145.8854859,1.539409144,0.76027626,25993,180.551245,0.825078148,0.98499596,0.91909564,0.80395981,0.008771529,0.002260437,0.646351377,0.99499922,DERMASON,DERMASON
35699,694.117,236.6649656,192.4798218,1.229557277,0.581843363,36104,213.1979796,0.758488081,0.988782406,0.93110906,0.900843008,0.006629456,0.00269311,0.811518126,0.997808017,SEKER,SEKER
26038,618.657,230.3408572,144.2018142,1.59735062,0.77979365,26411,182.0785854,0.785412645,0.985877097,0.854904541,0.79047455,0.008846334,0.002130564,0.624850014,0.998104557,DERMASON,DERMASON
40197,742.209,256.7947879,199.5419875,1.286921069,0.62944081,40643,226.2308776,0.76230301,0.989026401,0.91696144,0.880979242,0.006388407,0.00237375,0.776124425,0.998810875,SEKER,SEKER
69386,1036.784,374.2182333,236.5689491,1.581856937,0.774831007,70292,297.2288664,0.715260597,0.987110909,0.811157416,0.794266126,0.005393282,0.001324028,0.630858679,0.997928178,BARBUNYA,CALI
35923,684.665,229.9818299,199.1153587,1.155018033,0.500412098,36239,213.8658088,0.771012191,0.991280113,0.962999824,0.929924807,0.006402077,0.002953194,0.864760147,0.998813564,SEKER,SEKER
32791,670.372,250.3606648,166.9543423,1.499575641,0.745187209,33141,204.3301199,0.785413174,0.989439063,0.916922843,0.816143063,0.007635042,0.002089567,0.6660895,0.998851588,DERMASON,DERMASON
51693,834.877,304.3503037,216.7960052,1.403855681,0.701850849,52208,256.5493555,0.776450973,0.990135611,0.931958572,0.84294102,0.00588765,0.001833625,0.710549564,0.997509042,BARBUNYA,SEKER
37631,744.128,248.899729,192.992721,1.289684542,0.631490749,38388,218.891017,0.750353931,0.980280296,0.854004837,0.879434533,0.00661422,0.002440464,0.773405098,0.9974486,SEKER,SEKER
51440,905.432,359.2756954,183.5025868,1.957878097,0.859725106,52233,255.9207733,0.800834462,0.984818027,0.788495366,0.712324203,0.006984364,0.001109219,0.50740577,0.993438643,HOROZ,HOROZ
61704,969.404,395.6012989,199.799678,1.979989672,0.863088249,62388,280.2926558,0.650927274,0.989036353,0.825113262,0.708523093,0.006411275,0.000996644,0.502004973,0.993964662,HOROZ,HOROZ
35978,687.586,243.5302452,188.4149583,1.292520761,0.633574163,36297,214.0294661,0.746927421,0.991211395,0.956297082,0.878861949,0.006768866,0.002491026,0.772398326,0.998340872,SEKER,SEKER
61701,973.472,327.5645931,240.3264186,1.362998687,0.679499012,62812,280.2858419,0.728086944,0.982312297,0.818191829,0.855665868,0.005308902,0.001755502,0.732164078,0.997938677,BARBUNYA,SEKER
44634,774.05,266.8971937,213.6078863,1.249472566,0.599549468,45116,238.3899617,0.738777807,0.989316429,0.93613319,0.893190214,0.005979684,0.002347652,0.797788759,0.996815168,SEKER,SEKER
58891,981.815,347.1969328,216.4020641,1.604406752,0.781996085,60173,273.8290526,0.75860159,0.978694763,0.767714012,0.788685114,0.005895586,0.001407088,0.622024209,0.997979841,BARBUNYA,CALI
68109,1054.03,382.4985513,227.4918703,1.681372397,0.803909057,69487,294.4810217,0.750760582,0.980168952,0.770386074,0.76988794,0.005615977,0.001217069,0.59272744,0.996595557,BARBUNYA,CALI
25256,586.29,220.5764305,146.0429268,1.510353397,0.749418414,25536,179.3235566,0.782791966,0.989035088,0.923314082,0.812976963,0.008733625,0.002353354,0.660931542,0.9982402,DERMASON,DERMASON
69441,1019.858,400.6709536,222.5306984,1.800519913,0.831586582,70363,297.3466449,0.749676124,0.986896522,0.838969971,0.742121789,0.005769948,0.001079574,0.55074475,0.991626889,CALI,CALI
36085,689.809,237.3103987,193.835087,1.224290207,0.576921209,36414,214.3474958,0.75592844,0.990965013,0.952969192,0.903236845,0.006576428,0.002700079,0.815836799,0.998821003,SEKER,SEKER
67760,1020.165,372.7653614,232.1322074,1.605832149,0.782436728,68895,293.7255718,0.721595689,0.983525655,0.818167873,0.787963696,0.00550126,0.001308178,0.620886786,0.997039962,BARBUNYA,CALI
35259,677.828,234.8896338,191.2971925,1.227878103,0.580285549,35577,211.8800441,0.752240143,0.991061641,0.964363679,0.902040847,0.006661835,0.002720686,0.813677689,0.999097017,SEKER,SEKER
68770,1032.496,353.7828834,248.6158763,1.423010021,0.711450968,69908,295.9065452,0.755050505,0.983721462,0.810647659,0.836407184,0.005144436,0.001553061,0.699576977,0.995505049,BARBUNYA,CALI
42402,800.745,318.293212,171.8010823,1.852684557,0.841820685,43064,232.3529711,0.703219066,0.984627531,0.831012841,0.729996627,0.007506561,0.001314935,0.532895075,0.987286476,HOROZ,HOROZ
51560,850.918,316.8622226,208.4950408,1.519759038,0.75301876,52472,256.2191073,0.785724082,0.982619302,0.894844043,0.808613615,0.006145505,0.001620696,0.653855978,0.993703532,SIRA,SIRA
61636,959.365,368.6321344,214.9134491,1.715258566,0.812470373,62421,280.1381669,0.719475183,0.987424104,0.8415435,0.759939628,0.005980793,0.001230424,0.577508237,0.990575951,CALI,CALI
45030,842.585,343.6325296,168.215351,2.042813141,0.87199149,45623,239.4451434,0.630760611,0.98700217,0.797047794,0.696805811,0.007631191,0.001109735,0.485538338,0.991864097,HOROZ,HOROZ
41285,743.117,261.234297,201.4387469,1.296842345,0.636709511,41729,229.2720973,0.773040482,0.989359918,0.939480477,0.877649298,0.006327584,0.002315804,0.77026829,0.998916536,SEKER,SEKER
34394,669.762,230.9211333,189.9052632,1.215980692,0.568936466,34730,209.264906,0.781681818,0.990325367,0.963499612,0.90621808,0.006713995,0.002793133,0.821231209,0.998601293,SEKER,SEKER
27998,615.426,228.0066779,156.5950636,1.456027238,0.726846129,28329,188.8072053,0.787566807,0.98831586,0.928934715,0.828077524,0.008143677,0.002362024,0.685712386,0.998415911,DERMASON,DERMASON
75936,1079.901,420.4081586,232.4118036,1.808893318,0.833297909,77128,310.9416634,0.765599637,0.984545172,0.818256933,0.739618528,0.005536348,0.001021961,0.547035567,0.989528982,CALI,CALI
65496,988.059,366.1841229,228.3916323,1.60331672,0.781658155,66356,288.7768987,0.7891845,0.987039605,0.843060777,0.788611195,0.005590939,0.001333878,0.621907617,0.99711488,BARBUNYA,CALI
39506,725.692,243.1820843,206.996576,1.17481211,0.524841556,39972,224.2779558,0.774172056,0.988341839,0.942688594,0.922263482,0.006155573,0.002747061,0.85056993,0.999259854,SEKER,SEKER
70332,1004.224,377.6639772,237.5478886,1.589843544,0.777411198,70976,299.2481974,0.710510365,0.99092651,0.876398526,0.792366271,0.005369732,0.001305679,0.627844308,0.99817422,CALI,CALI
68264,1027.426,408.5483541,215.8187179,1.893016316,0.849084242,69822,294.8159159,0.733075601,0.977686116,0.812644299,0.721618171,0.005984829,0.001001063,0.520732784,0.985755657,CALI,CALI
34222,671.994,223.2982638,195.2383681,1.143721216,0.485315785,34576,208.7409967,0.7843326,0.989761684,0.95232341,0.93480797,0.006524992,0.003073614,0.873865941,0.999459017,SEKER,SEKER
52942,918.137,365.4608679,190.7847959,1.915565997,0.852921666,55205,259.6302139,0.77278566,0.959007336,0.789214815,0.710418643,0.006903042,0.00108462,0.504694649,0.966775908,HOROZ,HOROZ
85861,1127.125,453.4993532,243.2214479,1.8645533,0.84401378,86936,330.6382019,0.662236894,0.987634582,0.849301011,0.72908197,0.005281785,0.000920589,0.531560519,0.99112292,CALI,CALI
44595,791.968,296.6677286,192.2877194,1.542832426,0.761505428,45055,238.2857895,0.784681166,0.989790256,0.893471624,0.803207651,0.006652489,0.00170795,0.645142531,0.995346816,SIRA,SIRA
71482,1028.478,368.1825732,248.6883647,1.480497786,0.737407168,72669,301.6847844,0.734935176,0.983665662,0.84921283,0.819389092,0.005150703,0.001432211,0.671398484,0.994003969,BARBUNYA,CALI
43935,765.713,256.3129117,218.4494531,1.173328237,0.523091664,44370,236.5159179,0.786731131,0.990196078,0.941647708,0.922762401,0.005833912,0.002609151,0.851490449,0.999077787,SEKER,SEKER
29664,639.039,237.7824776,159.1750173,1.493842951,0.742889188,29981,194.3434533,0.735915056,0.989426637,0.912819374,0.817316126,0.00801586,0.00220643,0.668005649,0.99789553,DERMASON,DERMASON
79814,1075.684,380.9404484,267.5498262,1.423811235,0.711841354,80880,318.7825921,0.789956055,0.98681998,0.866801238,0.836830516,0.004772852,0.001443803,0.700285313,0.997074096,BARBUNYA,CALI
41029,768.181,294.6773361,177.8312027,1.657062043,0.797379871,41473,228.5601568,0.817799482,0.98929424,0.87372281,0.775628556,0.007182172,0.001603433,0.601599658,0.996887958,SIRA,SIRA
42948,778.088,285.0214146,193.0020563,1.47677916,0.735845638,43496,233.8441617,0.789427248,0.98740114,0.891446683,0.820444183,0.00663643,0.001854857,0.673128658,0.994062374,SIRA,SIRA
36362,701.998,258.6351721,179.4211654,1.44149756,0.720241911,36721,215.168623,0.786035452,0.990223578,0.927226589,0.831938755,0.007112787,0.002101769,0.692122091,0.997692306,DERMASON,DERMASON
65099,1008.429,339.042428,245.3134953,1.382078175,0.690273994,66288,287.9003667,0.742325762,0.982063119,0.804439761,0.849157341,0.005208105,0.001670368,0.72106819,0.996572608,BARBUNYA,SEKER
44570,807.791,308.0542278,184.8333766,1.666659093,0.799997955,45178,238.2189886,0.688318508,0.986542122,0.858330367,0.773302124,0.006911695,0.001524618,0.597996175,0.996655762,SIRA,SIRA
48263,838.687,304.7356873,202.7929268,1.502693867,0.746423225,48922,247.8918315,0.712011684,0.986529578,0.862232434,0.813465051,0.006314064,0.001705471,0.66172539,0.994370685,SIRA,SIRA
30879,654.628,243.4126252,161.6760602,1.505557625,0.747549831,31244,198.2835442,0.736108131,0.988317757,0.905490581,0.814598438,0.007882788,0.002141085,0.663570615,0.999043799,DERMASON,DERMASON
72322,1071.542,377.0354261,245.0295343,1.538734615,0.760032859,73587,303.4521879,0.720396047,0.982809464,0.791520004,0.804837336,0.005213288,0.001349348,0.647763137,0.996735562,BARBUNYA,CALI
80259,1093.858,430.8463441,239.1631131,1.801474895,0.831783143,81078,319.6700371,0.676400688,0.989898616,0.842910985,0.741958337,0.0053682,0.001003521,0.550502174,0.991715847,CALI,CALI
48027,832.7,311.9178795,197.3641072,1.580418466,0.774361203,48676,247.2850089,0.701380066,0.986666941,0.870398621,0.792788824,0.006494636,0.001582576,0.62851412,0.993315321,SIRA,SIRA
29920,641.567,236.3747199,161.4634609,1.463951773,0.730341116,30221,195.1802428,0.761439406,0.990040038,0.91345555,0.825723846,0.007900225,0.002265471,0.68181987,0.998151407,DERMASON,DERMASON
65707,1000.653,361.1158225,233.2033591,1.548501805,0.763518892,66803,289.2416823,0.819994759,0.983593551,0.824621207,0.800966516,0.00549585,0.001395314,0.64154736,0.993437245,BARBUNYA,CALI
69221,1021.744,378.5480822,233.5553793,1.620806523,0.78698135,70135,296.8752508,0.820542911,0.98696799,0.833227396,0.78424714,0.005468688,0.001276071,0.615043576,0.99686664,BARBUNYA,CALI
43753,794.736,297.0848689,189.1153233,1.570919076,0.771218905,44188,236.0255279,0.694492063,0.990155698,0.870506319,0.794471724,0.006790046,0.001668654,0.63118532,0.991541059,SIRA,SIRA
65345,996.042,362.3966987,230.2297934,1.574065169,0.772267323,66369,288.4438213,0.710611597,0.98457111,0.827688504,0.79593391,0.005545898,0.001372966,0.633510789,0.997187267,BARBUNYA,CALI
59499,986.818,396.9401298,191.9924422,2.067477893,0.8752443,60449,275.2389501,0.609339956,0.984284273,0.767795222,0.693401673,0.006671375,0.000951338,0.48080588,0.994055528,HOROZ,HOROZ
27503,607.354,225.3457581,155.7569148,1.446778517,0.722672317,27755,187.1307222,0.787329669,0.990920555,0.936927833,0.830415996,0.008193497,0.002403432,0.689590727,0.997685049,DERMASON,DERMASON
62215,998.572,354.267075,224.370612,1.578937062,0.773875735,63401,281.4508808,0.765139217,0.98129367,0.784054408,0.794459606,0.005694239,0.001399274,0.631166065,0.996571493,BARBUNYA,CALI
28157,628.77,233.6673957,154.603181,1.511400957,0.749823596,28477,189.3425622,0.686086745,0.988762861,0.894978536,0.810308009,0.008298732,0.002206948,0.656599069,0.992384462,DERMASON,DERMASON
49609,855.35,335.0468732,190.9006953,1.755084615,0.821802054,50302,251.3247711,0.799629271,0.986223212,0.852084406,0.750118241,0.006753752,0.001318997,0.562677375,0.987546404,SIRA,HOROZ
74154,1054.801,413.1876243,230.6605578,1.791323268,0.829675124,75125,307.2715496,0.763136771,0.987074875,0.837535802,0.743661067,0.005572021,0.001051218,0.553031783,0.990658701,CALI,CALI
36906,702.412,246.3682022,190.9485904,1.290233155,0.631895354,37298,216.7721814,0.779232296,0.989490053,0.939989487,0.879870777,0.00667556,0.002467988,0.774172584,0.998863135,SEKER,SEKER
41735,735.759,257.9670166,206.2186993,1.250939015,0.600799858,42050,230.5182257,0.773988354,0.992508918,0.968811121,0.893595735,0.006181071,0.002431128,0.798513337,0.998891488,SEKER,SEKER
31158,642.626,216.4848362,183.6443122,1.178826797,0.529514251,31492,199.1773023,0.798759229,0.989394132,0.948119004,0.92005198,0.00694797,0.003071052,0.846495646,0.997871751,SEKER,SEKER
71853,1046.04,402.6695608,229.7830879,1.752389893,0.821193899,73226,302.466661,0.778101447,0.981249829,0.825198036,0.751153527,0.005604074,0.001100521,0.564231622,0.988753791,CALI,CALI
44793,804.334,306.7170378,186.5375503,1.644264317,0.793803189,45254,238.8141933,0.698232323,0.989813055,0.870055907,0.778614045,0.006847432,0.001552374,0.60623983,0.996818521,SIRA,SIRA
30452,641.074,230.9343034,168.3467942,1.371777255,0.684533585,30821,196.9078226,0.728168341,0.988027643,0.931127939,0.852657313,0.007583551,0.002472581,0.727024494,0.997315665,DERMASON,DERMASON
43077,830.696,349.041044,158.7692156,2.198417639,0.890556509,43755,234.1950893,0.772404519,0.984504628,0.784460492,0.670967192,0.008102724,0.001013015,0.450196973,0.989720967,HOROZ,HOROZ
41974,780.738,287.8867489,186.9834501,1.539637592,0.760358605,42558,231.1773273,0.705066183,0.986277551,0.865325669,0.803014825,0.006858692,0.0017592,0.644832809,0.992808834,SIRA,SIRA
53775,888.483,356.1336787,193.1511112,1.843808594,0.840149007,54244,261.6647789,0.643819216,0.991353882,0.856036018,0.734737529,0.006622663,0.001190533,0.539839236,0.995360222,HOROZ,HOROZ
36015,701.005,256.4520818,179.3963455,1.429527904,0.714601626,36407,214.1394924,0.758609795,0.98923284,0.920981808,0.835007815,0.007120702,0.002135329,0.697238051,0.996721249,DERMASON,DERMASON
67796,1015.155,344.1761834,253.0661384,1.360024639,0.677762606,69240,293.8035878,0.738647259,0.979145003,0.826702439,0.853642994,0.005076644,0.001662883,0.728706362,0.991058606,BARBUNYA,CALI
30240,662.069,254.4625911,152.1133319,1.672848711,0.801658192,30632,196.2212115,0.77044586,0.987202925,0.86693222,0.771120072,0.008414768,0.001835312,0.594626165,0.994719613,DERMASON,DERMASON
27770,610.656,224.8720126,157.3307031,1.429295161,0.7144901,28076,188.0368638,0.737935799,0.989101012,0.935820353,0.83619505,0.00809766,0.002442135,0.699222162,0.999394852,DERMASON,DERMASON
63128,1000.638,407.6883919,198.5910656,2.052903995,0.873337926,63792,283.5084937,0.799118954,0.989591171,0.792278574,0.695404871,0.006458123,0.000931616,0.483587935,0.992759604,HOROZ,HOROZ
48044,824.551,317.7222313,192.8835326,1.647223208,0.794638988,48442,247.3287704,0.807869514,0.991783989,0.888002067,0.778443389,0.006613151,0.001497947,0.60597411,0.998174617,SIRA,SIRA
73056,1041.289,356.6933788,261.4526252,1.364275377,0.680239578,74191,304.9881771,0.742303237,0.984701648,0.846687587,0.855043001,0.004882465,0.001609796,0.731098534,0.997419728,BARBUNYA,CALI
76682,1047.949,400.5993106,245.2582862,1.633377273,0.790680942,77378,312.4652857,0.734431568,0.991005195,0.877451257,0.779994567,0.005224164,0.001192787,0.608391524,0.993732888,CALI,CALI
31778,660.047,247.4383002,163.8337408,1.51030123,0.749398209,32053,201.1492139,0.713214831,0.99142046,0.916614455,0.812926753,0.007786465,0.002097615,0.660849906,0.998082425,DERMASON,DERMASON
69580,1012.777,352.2390497,252.6260486,1.394310095,0.6968668,70646,297.6440954,0.817069447,0.984910681,0.852445512,0.845005957,0.005062361,0.001592106,0.714035068,0.995586303,BARBUNYA,CALI
26956,607.337,229.4683068,149.91654,1.53064036,0.757080733,27315,185.2604792,0.802261905,0.986857038,0.918344928,0.807346696,0.008512699,0.002230937,0.651808687,0.997684684,DERMASON,DERMASON
